Date,Province_State,Population,Elapsed_Days,Percentage_Home
2020-05-13,West Virginia,1792147.0,52,29.465019843341533
2020-05-13,Wisconsin,5822434.0,59,35.31854041337296
2020-05-13,Wyoming,578759.0,59,31.452150483579462
2020-05-14,Alabama,4903185.0,59,24.22685756838256
2020-05-14,Alaska,731545.0,57,30.72856421178966
2020-05-14,Arizona,7278717.0,56,34.91500506126898
2020-05-14,Arkansas,3017804.0,60,26.23517710291119
2020-05-14,California,39512223.0,63,40.56041299441581
2020-05-14,Colorado,5758736.0,64,34.68919265428117
2020-05-14,Connecticut,3565287.0,61,36.861883979364116
2020-05-14,Delaware,973764.0,61,36.07921188793794
2020-05-14,District of Columbia,705749.0,0,44.607342056168996
2020-05-14,Florida,21477737.0,60,33.38499848827732
2020-05-14,Georgia,10617423.0,61,28.91883516010332
2020-05-14,Hawaii,1415872.0,58,35.2024924010194
2020-05-14,Idaho,1787065.0,57,30.693250114323764
2020-05-14,Illinois,12671821.0,61,39.317757058766034
2020-05-14,Indiana,6732219.0,57,32.105422386528566
2020-05-14,Iowa,3155070.0,63,31.68916330422953
2020-05-14,Kansas,2913314.0,58,31.50201361095509
2020-05-14,Kentucky,4467673.0,58,28.33050995478669
2020-05-14,Louisiana,4648794.0,62,30.27149724043811
2020-05-14,Maine,1344212.0,60,30.907756762615506
2020-05-14,Maryland,6045680.0,60,41.21814125221829
2020-05-14,Massachusetts,6892503.0,65,40.28104511941621
2020-05-14,Michigan,9986857.0,59,39.95105384626295
2020-05-14,Minnesota,5639632.0,60,35.45605543422807
2020-05-14,Mississippi,2976149.0,58,24.742896032276906
2020-05-14,Missouri,6137428.0,56,31.382661368219317
2020-05-14,Montana,1068778.0,60,29.97188663045627
2020-05-14,Nebraska,1934408.0,63,31.358373248064908
2020-05-14,Nevada,3080156.0,62,37.489271892538675
2020-05-14,New Hampshire,1359711.0,61,34.79000442820041
2020-05-14,New Jersey,8882190.0,61,42.59398044202949
2020-05-14,New Mexico,2096829.0,60,33.957478766999785
2020-05-14,New York,19453561.0,67,43.777772729556865
2020-05-14,North Carolina,10488084.0,58,29.956416099835835
2020-05-14,North Dakota,762062.0,57,29.09061054597384
2020-05-14,Ohio,11689100.0,58,34.78764455209641
2020-05-14,Oklahoma,3956971.0,56,27.180922337998446
2020-05-14,Oregon,4217737.0,63,39.01027605035821
2020-05-14,Pennsylvania,12801989.0,60,38.89298574322375
2020-05-14,Puerto Rico,3193694.0,54,49.97051537428358
2020-05-14,Rhode Island,1059361.0,62,37.76607701326872
2020-05-14,South Carolina,5148714.0,60,27.25692303898649
2020-05-14,South Dakota,884659.0,64,28.337586822749092
2020-05-14,Tennessee,6829174.0,60,27.55494124072696
2020-05-14,Texas,28995881.0,57,31.771568326169586
2020-05-14,Utah,3205958.0,60,31.54989249445023
2020-05-14,Vermont,623989.0,61,32.670836995923
2020-05-14,Virginia,8535519.0,60,36.23625129969963
2020-05-14,Washington,7614893.0,71,39.292844064160256
2020-05-14,West Virginia,1792147.0,53,29.183636649217185
2020-05-14,Wisconsin,5822434.0,60,35.864614844724315
2020-05-14,Wyoming,578759.0,60,31.072376692323427
2020-05-15,Alabama,4903185.0,60,23.075576260636748
2020-05-15,Alaska,731545.0,58,30.00230972949029
2020-05-15,Arizona,7278717.0,57,33.306482063351226
2020-05-15,Arkansas,3017804.0,61,25.678321301789108
2020-05-15,California,39512223.0,64,37.75739191008253
2020-05-15,Colorado,5758736.0,65,35.36626111146501
2020-05-15,Connecticut,3565287.0,62,37.94744301951349
2020-05-15,Delaware,973764.0,62,35.85178200586389
