Date,Incident_Rate
2020-04-05,46.1330292580889
2020-04-05,59.375371096069344
2020-04-05,92.07325862716044
2020-04-05,28.08659815248424
2020-04-05,61.788861345162495
2020-04-05,166.87821689855036
2020-04-05,46.6515423518252
2020-04-05,69.55682412893479
2020-04-05,43.573258947964185
2020-04-05,47.16876855716162
2020-04-05,56.49707847481842
2020-04-05,43.93786205928679
2020-04-05,49.78555566871731
2020-04-05,82.51767065049924
2020-04-05,265.6751904713999
2020-04-05,50.29999334404625
2020-04-05,337.5604825081403
2020-04-05,36.209577667204975
2020-04-05,80.65397074375319
2020-04-05,116.50846409151444
2020-04-05,117.27892917141948
2020-04-05,57.69100867850437
2020-04-05,136.0475579256593
2020-04-05,971.7141247301715
2020-04-05,35.2432988292727
2020-04-05,78.73244677725768
2020-04-05,369.60448185514025
