Date,Province_State,Weekly_Avg_Pct_Home,Elapsed_Days,Incident_Rate_Last_week,Incident_Rate_Pct_Change_Last_week
2020-05-17,Arkansas,25.437827095963,70,157.69745152435348,0.18619142572283165
2020-05-17,South Carolina,28.208332595833756,70,171.22722295314907,0.15196654906572582
2020-05-17,Colorado,34.541779398011144,74,380.95165327946967,0.11343450236004671
2020-05-17,Washington,38.66421357139758,81,242.06512159790032,0.09129122017642533
2020-05-17,District of Columbia,46.847867407969225,0,1009.2823369214835,0.1356823979591839
2020-05-17,Maryland,41.10885770102427,70,641.8467401516455,0.1907816000245497
2020-05-17,Utah,31.55010870731519,70,225.7671497879885,0.1578947368421053
2020-05-17,Maine,31.19937478174604,70,125.50103703880043,0.17479108635097496
2020-05-17,Michigan,34.677044374394924,69,512.0930438875814,0.08393031240727389
2020-05-17,Vermont,32.15758272841834,71,150.64368121873943,0.014023732470334282
